team_home,team_away,goals_home,goals_away,league_division,season,group
FC Pakila,ToTe/Arabia,1,2,7,25,2
FC POHU/Kova Kamppi,HPS/Rangers,1,3,7,25,2
Kullervo/Überkleber,Ponnistus/TK,0,4,7,25,2
Tavastia/FC Mojo,FC Pakila,1,1,7,25,2
FC Lähiö,Käpylän Sekunda,4,1,7,25,2
HPS/Rangers,Käpylän Sekunda,3,3,7,25,2
FC Lähiö,FC POHU/Kova Kamppi,1,3,7,25,2
ToTe/Arabia,Valtti/TDJ,1,5,7,25,2
FC Pakila,FC Lähiö,0,5,7,25,2
Ponnistus/TK,Valtti/TDJ,1,4,7,25,2
Käpylän Sekunda,ToTe/Arabia,0,5,7,25,2
Valtti/TDJ,FC Pakila,4,0,7,25,2
HPS/Rangers,Tavastia/FC Mojo,1,4,7,25,2
Ponnistus/TK,FC POHU/Kova Kamppi,2,2,7,25,2
ToTe/Arabia,Kullervo/Überkleber,3,3,7,25,2
FC POHU/Kova Kamppi,ToTe/Arabia,3,0,7,25,2
FC Pakila,HPS/Rangers,1,6,7,25,2
Tavastia/FC Mojo,Valtti/TDJ,1,2,7,25,2
Kullervo/Überkleber,FC Lähiö,2,5,7,25,2
Käpylän Sekunda,Ponnistus/TK,1,1,7,25,2
Valtti/TDJ,Kullervo/Überkleber,3,2,7,25,2
Tavastia/FC Mojo,ToTe/Arabia,5,2,7,25,2
Käpylän Sekunda,FC POHU/Kova Kamppi,1,1,7,25,2
FC Pakila,Ponnistus/TK,0,6,7,25,2
HPS/Rangers,FC Lähiö,1,2,7,25,2
Kullervo/Überkleber,Käpylän Sekunda,2,3,7,25,2
Ponnistus/TK,Tavastia/FC Mojo,2,6,7,25,2
FC POHU/Kova Kamppi,FC Pakila,3,2,7,25,2
FC Lähiö,Valtti/TDJ,1,1,7,25,2
ToTe/Arabia,HPS/Rangers,1,3,7,25,2
JJ Vepo,AC StaSi/Europort,1,6,7,25,3
LPS/7,HeKuLa,2,0,7,25,3
PK-35/Äijät,KOPSE/CRPS FC,2,2,7,25,3
HeKuLa,JJ Vepo,2,2,7,25,3
AFC EMU,LPS/7,4,0,7,25,3
KOPSE/CRPS FC,MLHF/Reserves,2,2,7,25,3
AC StaSi/Europort,Valtti/4,1,3,7,25,3
MLHF/Reserves,JJ Vepo,6,1,7,25,3
AFC EMU,AC StaSi/Europort,1,1,7,25,3
LPS/7,KOPSE/CRPS FC,3,2,7,25,3
JJ Vepo,Valtti/4,1,3,7,25,3
KOPSE/CRPS FC,HeKuLa,1,1,7,25,3
AC StaSi/Europort,LPS/7,2,3,7,25,3
PK-35/Äijät,MLHF/Reserves,1,1,7,25,3
Valtti/4,AFC EMU,2,0,7,25,3
HeKuLa,PK-35/Äijät,3,5,7,25,3
KOPSE/CRPS FC,JJ Vepo,6,4,7,25,3
MLHF/Reserves,AC StaSi/Europort,8,0,7,25,3
Valtti/4,MLHF/Reserves,1,1,7,25,3
AFC EMU,HeKuLa,1,0,7,25,3
AC StaSi/Europort,KOPSE/CRPS FC,1,2,7,25,3
PK-35/Äijät,LPS/7,3,0,7,25,3
MLHF/Reserves,AFC EMU,3,2,7,25,3
HeKuLa,AC StaSi/Europort,1,6,7,25,3
LPS/7,Valtti/4,1,1,7,25,3
KOPSE/CRPS FC,AFC EMU,0,6,7,25,3
JJ Vepo,PK-35/Äijät,0,6,7,25,3
HeKuLa,Valtti/4,1,1,7,25,3
AC StaSi/Europort,PK-35/Äijät,1,7,7,25,3
AFC EMU,JJ Vepo,5,1,7,25,3
LPS/7,MLHF/Reserves,0,0,7,25,3
JJ Vepo,LPS/7,1,2,7,25,3
MLHF/Reserves,HeKuLa,5,0,7,25,3
PK-35/Äijät,AFC EMU,3,1,7,25,3
Valtti/4,KOPSE/CRPS FC,3,0,7,25,3
Valtti/4,PK-35/Äijät,2,0,7,25,3
MLHF/Reserves,Valtti/4,2,1,7,25,4
Käpylän Sekunda,Trikiinit,1,3,7,25,4
Valtti/4,Käpylän Sekunda,1,2,7,25,4
Trikiinit,Valtti/TDJ,1,4,7,25,4
FC Lähiö,Cosmos,4,3,7,25,4
PK-35/Äijät,Kullervo,2,2,7,25,4
Valtti/TDJ,PK-35/Äijät,1,0,7,25,4
Kullervo,FC Lähiö,1,0,7,25,4
Cosmos,Trikiinit,0,2,7,25,4
Käpylän Sekunda,Kullervo,1,2,7,25,4
Cosmos,MLHF/Reserves,1,7,7,25,4
FC Lähiö,Valtti/TDJ,2,1,7,25,4
Valtti/4,PK-35/Äijät,1,0,7,25,4
Valtti/TDJ,Valtti/4,2,1,7,25,4
MLHF/Reserves,Käpylän Sekunda,4,1,7,25,4
Kullervo,Cosmos,1,3,7,25,4
Trikiinit,FC Lähiö,2,1,7,25,4
Käpylän Sekunda,FC Lähiö,0,4,7,25,4
Valtti/4,Kullervo,1,2,7,25,4
PK-35/Äijät,MLHF/Reserves,0,3,7,25,4
Valtti/TDJ,Cosmos,2,1,7,25,4
FC Lähiö,Valtti/4,2,1,7,25,4
Kullervo,MLHF/Reserves,1,6,7,25,4
Trikiinit,PK-35/Äijät,6,0,7,25,4
Valtti/4,Trikiinit,2,5,7,25,4
Cosmos,Käpylän Sekunda,1,2,7,25,4
MLHF/Reserves,Valtti/TDJ,1,1,7,25,4
PK-35/Äijät,FC Lähiö,1,4,7,25,4
MLHF/Reserves,Trikiinit,1,5,7,25,4
Kullervo,Valtti/TDJ,1,1,7,25,4
Käpylän Sekunda,PK-35/Äijät,0,3,7,25,4
Cosmos,Valtti/4,1,1,7,25,4
Trikiinit,Kullervo,4,1,7,25,4
FC Lähiö,MLHF/Reserves,2,1,7,25,4
PK-35/Äijät,Cosmos,2,1,7,25,4
Valtti/TDJ,Käpylän Sekunda,5,0,7,25,4
LPS/7,HPS/Rangers,0,1,7,25,5
Tavastia/FC Mojo,Ponnistus/TK,3,1,7,25,5
HPS/Rangers,KOPSE/CRPS FC,8,0,7,25,5
FC POHU/Sober,Tavastia/FC Mojo,1,2,7,25,5
Ponnistus/TK,Kasiysi/3,1,0,7,25,5
Kasiysi/3,AFC EMU,0,3,7,25,5
KOPSE/CRPS FC,FC POHU/Sober,0,4,7,25,5
AFC EMU,FC Puimur,2,3,7,25,5
HPS/Rangers,Ponnistus/TK,1,0,7,25,5
KOPSE/CRPS FC,Kasiysi/3,4,1,7,25,5
AFC EMU,Tavastia/FC Mojo,0,0,7,25,5
FC Puimur,LPS/7,2,8,7,25,5
FC POHU/Sober,AFC EMU,1,1,7,25,5
LPS/7,KOPSE/CRPS FC,5,2,7,25,5
Kasiysi/3,FC Puimur,6,1,7,25,5
Tavastia/FC Mojo,HPS/Rangers,1,4,7,25,5
HPS/Rangers,Kasiysi/3,2,0,7,25,5
Ponnistus/TK,LPS/7,2,1,7,25,5
FC Puimur,FC POHU/Sober,5,2,7,25,5
KOPSE/CRPS FC,AFC EMU,1,2,7,25,5
FC POHU/Sober,Ponnistus/TK,7,1,7,25,5
Kasiysi/3,LPS/7,3,0,7,25,5
Tavastia/FC Mojo,FC Puimur,2,1,7,25,5
AFC EMU,HPS/Rangers,1,2,7,25,5
HPS/Rangers,FC POHU/Sober,1,1,7,25,5
FC Puimur,KOPSE/CRPS FC,1,3,7,25,5
Ponnistus/TK,AFC EMU,0,1,7,25,5
LPS/7,Tavastia/FC Mojo,3,2,7,25,5
FC Puimur,HPS/Rangers,1,4,7,25,5
LPS/7,FC POHU/Sober,0,2,7,25,5
Kasiysi/3,Tavastia/FC Mojo,3,4,7,25,5
KOPSE/CRPS FC,Ponnistus/TK,1,0,7,25,5
Ponnistus/TK,FC Puimur,3,1,7,25,5
FC POHU/Sober,Kasiysi/3,1,1,7,25,5
AFC EMU,LPS/7,3,2,7,25,5
Tavastia/FC Mojo,KOPSE/CRPS FC,6,1,7,25,5
AC StaSi/Europort,FC POHU/Kova Kamppi,4,5,7,25,6
MoPo,ToTe/Arabia,1,1,7,25,6
JJ Vepo,Kilo IF/2,2,2,7,25,6
FC POHU/Kova Kamppi,JJ Vepo,9,2,7,25,6
ToTe/Arabia,AC StaSi/Europort,0,3,7,25,6
HeKuLa,MoPo,0,3,7,25,6
FC Pakila,OT-77,0,4,7,25,6
FC POHU/Kova Kamppi,OT-77,0,1,7,25,6
Kilo IF/2,Kullervo/Überkleber,2,1,7,25,6
AC StaSi/Europort,JJ Vepo,3,2,7,25,6
OT-77,HeKuLa,2,2,7,25,6
Kullervo/Überkleber,FC Pakila,4,2,7,25,6
Kilo IF/2,MoPo,0,1,7,25,6
ToTe/Arabia,Kilo IF/2,1,1,7,25,6
FC POHU/Kova Kamppi,FC Pakila,1,0,7,25,6
MoPo,AC StaSi/Europort,0,3,7,25,6
JJ Vepo,OT-77,1,7,7,25,6
HeKuLa,Kullervo/Überkleber,4,5,7,25,6
OT-77,MoPo,0,2,7,25,6
Kilo IF/2,HeKuLa,1,0,7,25,6
FC Pakila,ToTe/Arabia,5,4,7,25,6
Kullervo/Überkleber,FC POHU/Kova Kamppi,3,5,7,25,6
ToTe/Arabia,Kullervo/Überkleber,2,4,7,25,6
HeKuLa,JJ Vepo,0,0,7,25,6
FC Pakila,AC StaSi/Europort,2,2,7,25,6
MoPo,FC POHU/Kova Kamppi,1,3,7,25,6
JJ Vepo,ToTe/Arabia,2,3,7,25,6
OT-77,AC StaSi/Europort,2,3,7,25,6
HeKuLa,FC POHU/Kova Kamppi,0,3,7,25,6
Kilo IF/2,FC Pakila,4,3,7,25,6
Kullervo/Überkleber,MoPo,4,1,7,25,6
AC StaSi/Europort,Kullervo/Überkleber,4,0,7,25,6
FC Pakila,HeKuLa,0,0,7,25,6
FC POHU/Kova Kamppi,Kilo IF/2,4,0,7,25,6
MoPo,JJ Vepo,5,1,7,25,6
ToTe/Arabia,OT-77,0,3,7,25,6
OT-77,Kullervo/Überkleber,6,1,7,25,6
ToTe/Arabia,HeKuLa,0,0,7,25,6
AC StaSi/Europort,Kilo IF/2,2,1,7,25,6
JJ Vepo,FC Pakila,0,2,7,25,6
Kullervo/Überkleber,JJ Vepo,3,0,7,25,6
FC POHU/Kova Kamppi,ToTe/Arabia,6,0,7,25,6
HeKuLa,AC StaSi/Europort,1,2,7,25,6
Kilo IF/2,OT-77,3,2,7,25,6
FC Pakila,MoPo,5,1,7,25,6
MoPo,Kullervo/Überkleber,6,3,7,24,1
FC POHU/Swigu,Kasiysi/2,7,1,7,24,1
FC Pakila,OT-77,1,2,7,24,1
Trikiinit,Kilo IF/2,4,0,7,24,1
OT-77,Trikiinit,1,1,7,24,1
Kilo IF/2,MoPo,3,2,7,24,1
Kullervo/Überkleber,FC POHU/Swigu,1,2,7,24,1
Kasiysi/2,FC Pakila,0,1,7,24,1
Kullervo/Überkleber,Kilo IF/2,6,2,7,24,1
Trikiinit,Kasiysi/2,4,2,7,24,1
FC Pakila,FC POHU/Swigu,1,5,7,24,1
MoPo,OT-77,0,2,7,24,1
OT-77,Kilo IF/2,3,1,7,24,1
FC Pakila,Kullervo/Überkleber,5,1,7,24,1
Kasiysi/2,MoPo,1,0,7,24,1
FC POHU/Swigu,Trikiinit,1,1,7,24,1
Kilo IF/2,Kasiysi/2,4,0,7,24,1
Kullervo/Überkleber,OT-77,3,3,7,24,1
Trikiinit,FC Pakila,7,0,7,24,1
MoPo,FC POHU/Swigu,0,6,7,24,1
Trikiinit,Kullervo/Überkleber,1,3,7,24,1
Kasiysi/2,OT-77,0,6,7,24,1
FC Pakila,MoPo,4,2,7,24,1
FC POHU/Swigu,Kilo IF/2,0,0,7,24,1
OT-77,FC POHU/Swigu,6,3,7,24,1
Kilo IF/2,FC Pakila,2,2,7,24,1
MoPo,Trikiinit,0,2,7,24,1
Kullervo/Überkleber,Kasiysi/2,3,0,7,24,1
Käpylän Sekunda,HeKuLa,5,2,7,24,2
Tavastia/FC Mojo,FC POHU/Kova Kamppi,3,1,7,24,2
Kullervo,Cosmos,1,1,7,24,2
ToTe/Arabia,Ponnistus/TK,3,0,7,24,2
FC POHU/Kova Kamppi,Käpylän Sekunda,4,2,7,24,2
Ponnistus/TK,Kullervo,1,6,7,24,2
Cosmos,Tavastia/FC Mojo,3,5,7,24,2
HeKuLa,ToTe/Arabia,1,1,7,24,2
Tavastia/FC Mojo,Kullervo,2,0,7,24,2
ToTe/Arabia,FC POHU/Kova Kamppi,1,1,7,24,2
Ponnistus/TK,HeKuLa,3,0,7,24,2
Käpylän Sekunda,Cosmos,1,3,7,24,2
Ponnistus/TK,FC POHU/Kova Kamppi,0,4,7,24,2
FC POHU/Kova Kamppi,HeKuLa,1,1,7,24,2
Kullervo,Käpylän Sekunda,2,3,7,24,2
Cosmos,ToTe/Arabia,1,0,7,24,2
Tavastia/FC Mojo,Ponnistus/TK,4,2,7,24,2
ToTe/Arabia,Kullervo,2,6,7,24,2
HeKuLa,Cosmos,1,5,7,24,2
Käpylän Sekunda,Tavastia/FC Mojo,3,5,7,24,2
FC POHU/Kova Kamppi,Kullervo,6,3,7,24,2
Cosmos,FC POHU/Kova Kamppi,0,0,7,24,2
Tavastia/FC Mojo,ToTe/Arabia,4,0,7,24,2
Kullervo,HeKuLa,1,0,7,24,2
Käpylän Sekunda,Ponnistus/TK,8,2,7,24,2
ToTe/Arabia,Käpylän Sekunda,1,13,7,24,2
HeKuLa,Tavastia/FC Mojo,0,3,7,24,2
Ponnistus/TK,Cosmos,1,4,7,24,2
FC POHU/Sober,PK-35/Äijät,2,1,7,24,3
FC Lähiö,KOPSE/CRPS FC,5,0,7,24,3
AC StaSi/Europort,JJ Vepo,3,6,7,24,3
Valtti/4,LPS/7,2,1,7,24,3
KOPSE/CRPS FC,AC StaSi/Europort,5,1,7,24,3
PK-35/Äijät,Valtti/4,3,2,7,24,3
JJ Vepo,FC POHU/Sober,1,3,7,24,3
LPS/7,FC Lähiö,1,3,7,24,3
LPS/7,PK-35/Äijät,2,1,7,24,3
AC StaSi/Europort,FC Lähiö,2,5,7,24,3
FC POHU/Sober,KOPSE/CRPS FC,4,1,7,24,3
Valtti/4,JJ Vepo,1,3,7,24,3
FC Lähiö,FC POHU/Sober,3,0,7,24,3
AC StaSi/Europort,LPS/7,1,2,7,24,3
JJ Vepo,PK-35/Äijät,2,1,7,24,3
LPS/7,JJ Vepo,4,1,7,24,3
KOPSE/CRPS FC,Valtti/4,1,0,7,24,3
Valtti/4,FC Lähiö,1,2,7,24,3
PK-35/Äijät,KOPSE/CRPS FC,2,1,7,24,3
FC POHU/Sober,AC StaSi/Europort,2,0,7,24,3
KOPSE/CRPS FC,JJ Vepo,1,4,7,24,3
FC Lähiö,PK-35/Äijät,5,3,7,24,3
FC POHU/Sober,LPS/7,1,0,7,24,3
AC StaSi/Europort,Valtti/4,2,1,7,24,3
JJ Vepo,FC Lähiö,2,4,7,24,3
LPS/7,KOPSE/CRPS FC,8,0,7,24,3
Valtti/4,FC POHU/Sober,1,0,7,24,3
PK-35/Äijät,AC StaSi/Europort,3,0,7,24,3
OT-77,Tavastia/FC Mojo,4,4,7,24,4
FC POHU/Swigu,FC POHU/Sober,8,0,7,24,4
FC Lähiö,Tavastia/FC Mojo,4,1,7,24,4
FC POHU/Sober,Tavastia/FC Mojo,2,2,7,24,4
FC Lähiö,OT-77,4,4,7,24,4
FC POHU/Swigu,Cosmos,2,0,7,24,4
OT-77,FC POHU/Swigu,1,5,7,24,4
Cosmos,FC POHU/Sober,0,0,7,24,4
Tavastia/FC Mojo,FC Lähiö,3,2,7,24,4
FC POHU/Swigu,Tavastia/FC Mojo,6,3,7,24,4
Cosmos,OT-77,4,0,7,24,4
FC POHU/Sober,FC Lähiö,2,0,7,24,4
OT-77,FC POHU/Sober,8,2,7,24,4
Tavastia/FC Mojo,Cosmos,3,0,7,24,4
FC Lähiö,FC POHU/Swigu,0,4,7,24,4
FC Lähiö,Cosmos,3,2,7,24,4
Tavastia/FC Mojo,OT-77,2,1,7,24,4
FC POHU/Sober,FC POHU/Swigu,1,6,7,24,4
OT-77,FC Lähiö,1,4,7,24,4
Tavastia/FC Mojo,FC POHU/Sober,2,0,7,24,4
Cosmos,FC POHU/Swigu,1,1,7,24,4
FC POHU/Swigu,OT-77,6,0,7,24,4
FC POHU/Sober,Cosmos,1,1,7,24,4
OT-77,Cosmos,2,3,7,24,4
Tavastia/FC Mojo,FC POHU/Swigu,0,2,7,24,4
FC Lähiö,FC POHU/Sober,3,1,7,24,4
FC POHU/Swigu,FC Lähiö,3,1,7,24,4
FC POHU/Sober,OT-77,1,0,7,24,4
Cosmos,Tavastia/FC Mojo,1,5,7,24,4
FC Pakila,Kullervo,2,4,7,24,5
Kullervo/Überkleber,PK-35/Äijät,4,1,7,24,5
Trikiinit,LPS/7,1,1,7,24,5
Käpylän Sekunda,FC POHU/Kova Kamppi,2,3,7,24,5
JJ Vepo,Kilo IF/2,0,3,7,24,5
Kilo IF/2,FC Pakila,1,3,7,24,5
LPS/7,Kullervo/Überkleber,2,0,7,24,5
Kullervo,Trikiinit,3,1,7,24,5
FC POHU/Kova Kamppi,JJ Vepo,4,1,7,24,5
PK-35/Äijät,Käpylän Sekunda,0,0,7,24,5
Trikiinit,Kilo IF/2,9,0,7,24,5
FC Pakila,Kullervo/Überkleber,2,2,7,24,5
Kullervo,PK-35/Äijät,2,0,7,24,5
Käpylän Sekunda,JJ Vepo,1,2,7,24,5
LPS/7,FC POHU/Kova Kamppi,2,1,7,24,5
FC POHU/Kova Kamppi,Kullervo,2,0,7,24,5
Kilo IF/2,LPS/7,3,0,7,24,5
Kullervo/Überkleber,Käpylän Sekunda,1,3,7,24,5
JJ Vepo,FC Pakila,3,2,7,24,5
PK-35/Äijät,Trikiinit,1,3,7,24,5
Kullervo/Überkleber,Kilo IF/2,4,4,7,24,5
Käpylän Sekunda,Kullervo,1,3,7,24,5
FC Pakila,PK-35/Äijät,0,5,7,24,5
Trikiinit,FC POHU/Kova Kamppi,4,2,7,24,5
LPS/7,JJ Vepo,3,1,7,24,5
FC POHU/Kova Kamppi,Kullervo/Überkleber,2,3,7,24,5
Kullervo,LPS/7,1,0,7,24,5
Käpylän Sekunda,FC Pakila,3,2,7,24,5
JJ Vepo,Trikiinit,2,8,7,24,5
PK-35/Äijät,Kilo IF/2,2,1,7,24,5
Trikiinit,Käpylän Sekunda,2,0,7,24,5
LPS/7,PK-35/Äijät,2,0,7,24,5
FC Pakila,FC POHU/Kova Kamppi,3,3,7,24,5
Kilo IF/2,Kullervo,1,2,7,24,5
Kullervo/Überkleber,JJ Vepo,6,0,7,24,5
Kullervo,Kullervo/Überkleber,3,4,7,24,5
Trikiinit,FC Pakila,1,0,7,24,5
Kilo IF/2,FC POHU/Kova Kamppi,3,0,7,24,5
LPS/7,Käpylän Sekunda,1,3,7,24,5
PK-35/Äijät,JJ Vepo,8,0,7,24,5
Käpylän Sekunda,Kilo IF/2,2,2,7,24,5
FC POHU/Kova Kamppi,PK-35/Äijät,1,3,7,24,5
JJ Vepo,Kullervo,0,5,7,24,5
Kullervo/Überkleber,Trikiinit,1,4,7,24,5
FC Pakila,LPS/7,1,3,7,24,5
Ponnistus/TK,PiTa/II,2,3,7,24,6
Kasiysi/2,AC StaSi/Europort,1,1,7,24,6
MoPo,Ponnistus/TK,1,1,7,24,6
HeKuLa,KOPSE/CRPS FC,0,0,7,24,6
Valtti/4,PiTa/II,1,2,7,24,6
PiTa/II,ToTe/Arabia,4,5,7,24,6
Ponnistus/TK,HeKuLa,0,3,7,24,6
KOPSE/CRPS FC,Valtti/4,1,1,7,24,6
AC StaSi/Europort,MoPo,2,0,7,24,6
ToTe/Arabia,Kasiysi/2,0,4,7,24,6
HeKuLa,AC StaSi/Europort,1,0,7,24,6
MoPo,Valtti/4,1,0,7,24,6
Valtti/4,ToTe/Arabia,3,2,7,24,6
PiTa/II,HeKuLa,4,0,7,24,6
Kasiysi/2,MoPo,1,1,7,24,6
AC StaSi/Europort,KOPSE/CRPS FC,2,3,7,24,6
MoPo,PiTa/II,0,3,7,24,6
ToTe/Arabia,Ponnistus/TK,0,5,7,24,6
KOPSE/CRPS FC,Kasiysi/2,0,0,7,24,6
AC StaSi/Europort,Valtti/4,0,1,7,24,6
PiTa/II,AC StaSi/Europort,4,1,7,24,6
Ponnistus/TK,KOPSE/CRPS FC,4,0,7,24,6
Kasiysi/2,HeKuLa,1,3,7,24,6
ToTe/Arabia,MoPo,0,7,7,24,6
HeKuLa,ToTe/Arabia,1,0,7,24,6
AC StaSi/Europort,Ponnistus/TK,4,0,7,24,6
KOPSE/CRPS FC,PiTa/II,0,1,7,24,6
Valtti/4,Kasiysi/2,7,1,7,24,6
PiTa/II,Kasiysi/2,4,0,7,24,6
Ponnistus/TK,Valtti/4,1,0,7,24,6
KOPSE/CRPS FC,ToTe/Arabia,3,1,7,24,6
HeKuLa,MoPo,3,2,7,24,6
Valtti/4,HeKuLa,3,0,7,24,6
ToTe/Arabia,AC StaSi/Europort,0,4,7,24,6
MoPo,KOPSE/CRPS FC,1,2,7,24,6
Kasiysi/2,Ponnistus/TK,5,3,7,24,6
AC StaSi/Europort,Ponnistus/TK,1,2,7,23,1
Ponnistus/TK,Käpylän Sekunda,4,0,7,23,1
Kilo IF/2,Ponnistus/TK,0,3,7,23,1
Kullervo/Überkleber,OT-77,1,4,7,23,1
FC POHU/Swigu,Kilo IF/2,3,2,7,23,1
OT-77,FC POHU/Swigu,2,2,7,23,1
Käpylän Sekunda,AC StaSi/Europort,1,3,7,23,1
AC StaSi/Europort,Kilo IF/2,2,8,7,23,1
FC POHU/Swigu,Kullervo/Überkleber,4,0,7,23,1
Ponnistus/TK,OT-77,2,2,7,23,1
OT-77,AC StaSi/Europort,2,0,7,23,1
Kilo IF/2,Käpylän Sekunda,7,0,7,23,1
Kullervo/Überkleber,Ponnistus/TK,0,0,7,23,1
Ponnistus/TK,FC POHU/Swigu,2,2,7,23,1
AC StaSi/Europort,Kullervo/Überkleber,3,1,7,23,1
Käpylän Sekunda,OT-77,4,2,7,23,1
Kullervo/Überkleber,Käpylän Sekunda,4,1,7,23,1
OT-77,Kilo IF/2,0,0,7,23,1
FC POHU/Swigu,AC StaSi/Europort,1,1,7,23,1
Käpylän Sekunda,FC POHU/Swigu,0,4,7,23,1
Kilo IF/2,Kullervo/Überkleber,2,5,7,23,1
FC POHU/Kova Kamppi,Cosmos,2,4,7,23,2
FC Puimur,Kullervo,2,1,7,23,2
FC Pakila,Cosmos,2,3,7,23,2
Cosmos,FC Lähiö,1,2,7,23,2
FC POHU/Kova Kamppi,FC Pakila,3,4,7,23,2
FC Pakila,Kullervo,1,2,7,23,2
FC Lähiö,FC POHU/Kova Kamppi,0,2,7,23,2
Kullervo,FC Lähiö,2,2,7,23,2
FC Puimur,FC Pakila,2,1,7,23,2
Cosmos,Kullervo,0,1,7,23,2
FC Lähiö,FC Puimur,1,2,7,23,2
Kullervo,FC POHU/Kova Kamppi,2,3,7,23,2
FC Puimur,Cosmos,1,2,7,23,2
FC Lähiö,FC Pakila,3,2,7,23,2
FC POHU/Kova Kamppi,FC Puimur,2,2,7,23,2
PK-35/Äijät,HeKuLa,3,1,7,23,3
JJ Vepo,HeKuLa,3,2,7,23,3
Valtti/4,MoPo,0,0,7,23,3
PK-35/Äijät,KOPSE/CRPS FC,1,4,7,23,3
KOPSE/CRPS FC,Valtti/4,5,1,7,23,3
HeKuLa,LPS/7,0,2,7,23,3
MoPo,JJ Vepo,2,3,7,23,3
LPS/7,MoPo,2,0,7,23,3
Valtti/4,PK-35/Äijät,2,0,7,23,3
JJ Vepo,KOPSE/CRPS FC,7,1,7,23,3
PK-35/Äijät,JJ Vepo,1,6,7,23,3
KOPSE/CRPS FC,LPS/7,0,2,7,23,3
MoPo,HeKuLa,3,1,7,23,3
LPS/7,PK-35/Äijät,3,0,7,23,3
HeKuLa,KOPSE/CRPS FC,2,1,7,23,3
JJ Vepo,Valtti/4,6,3,7,23,3
KOPSE/CRPS FC,MoPo,1,2,7,23,3
Valtti/4,LPS/7,2,1,7,23,3
HeKuLa,Valtti/4,1,1,7,23,3
MoPo,PK-35/Äijät,1,2,7,23,3
LPS/7,JJ Vepo,3,2,7,23,3
FC POHU/Kova Kamppi,Ponnistus/TK,3,2,7,23,4
Valtti/4,FC Puimur,0,4,7,23,4
OT-77,Kullervo,3,0,7,23,4
LPS/7,FC POHU/Kova Kamppi,3,3,7,23,4
Ponnistus/TK,JJ Vepo,2,8,7,23,4
FC POHU/Swigu,Cosmos,2,1,7,23,4
JJ Vepo,OT-77,3,4,7,23,4
Cosmos,Valtti/4,4,3,7,23,4
Kullervo,FC POHU/Swigu,0,2,7,23,4
FC Puimur,LPS/7,0,1,7,23,4
FC POHU/Swigu,JJ Vepo,8,3,7,23,4
LPS/7,Ponnistus/TK,3,0,7,23,4
OT-77,Valtti/4,4,0,7,23,4
Cosmos,FC POHU/Kova Kamppi,5,2,7,23,4
Kullervo,FC Puimur,5,2,7,23,4
FC POHU/Swigu,FC POHU/Kova Kamppi,2,2,7,23,4
Ponnistus/TK,OT-77,0,0,7,23,4
